SF;Fach;Beschreibung;geaendert;gueltigVon;gueltigBis
R;E;Englisch;;;
R;N;Niederländisch;;;
GE;E;Englisch;;;
GY;E;Englisch;;;
GY;F;Französisch;;;
GY;I;Italienisch;;;
GY;S;Spanisch;;;
R;**;kein Eintrag;;;
GE;**;kein Eintrag;;;
GY;**;kein Eintrag;;;
GE;I;Italienisch;;;
GY;Z;Neugriechisch;;;
GE;Z;Neugriechisch;;;
R;F;Französisch;2004-09-28 09:17:47;;
G;**;kein Eintrag;2006-06-13 09:27:10;;
H;**;kein Eintrag;2006-06-13 09:27:49;;
V;**;kein Eintrag;2006-06-13 09:28:18;;
S;**;kein Eintrag;2006-06-13 09:28:35;;
SR;**;kein Eintrag;2006-06-13 09:29:09;;
SG;**;kein Eintrag;2006-06-13 09:29:50;;
GM;**;kein Eintrag;2011-06-17 11:43:47;;
SK;**;kein Eintrag;2012-07-09 08:01:41;;
GE;S;Spanisch;2013-01-22 10:04:49;;
GY;N;Niederländisch;2013-02-01 14:44:28;;
GY;T;Türkisch;2013-02-01 14:44:56;;
GE;F;Französisch;2013-02-01 14:45:14;;
GE;N;Niederländisch;2013-02-01 14:45:33;;
GE;T;Türkisch;2013-02-01 14:46:06;;
G;E;Englisch;2013-02-01 14:46:12;;
G;F;Französisch;2013-02-01 14:46:20;;
G;I;Italienisch;2013-02-01 14:46:31;;
G;Z;Neugriechisch;2013-02-01 14:46:54;;
G;N;Niederländisch;2013-02-01 14:47:02;;
G;S;Spanisch;2013-02-01 14:47:21;;
G;T;Türkisch;2013-02-01 14:47:51;;
SK;E;Englisch;2013-02-01 14:48:02;;
SK;F;Französisch;2013-02-01 14:48:12;;
SK;I;Italienisch;2013-02-01 14:48:31;;
SK;Z;Neugriechisch;2013-02-01 14:48:41;;
SK;N;Niederländisch;2013-02-01 14:48:49;;
SK;S;Spanisch;2013-02-01 14:48:56;;
SK;T;Türkisch;2013-02-01 14:49:15;;
GM;E;Englisch;2013-02-01 14:49:22;;
GM;F;Französisch;2013-02-01 14:49:36;;
GM;I;Italienisch;2013-02-01 14:49:49;;
GM;Z;Neugriechisch;2013-02-01 14:49:58;;
GM;N;Niederländisch;2013-02-01 14:50:06;;
GM;S;Spanisch;2013-02-01 14:50:12;;
GM;T;Türkisch;2013-02-01 14:51:03;;
R;I;Italienisch;2013-02-01 14:52:07;;
R;Z;Neugriechisch;2013-02-01 14:52:19;;
R;S;Spanisch;2013-02-01 14:52:26;;
R;T;Türkisch;2013-02-01 14:52:44;;
SR;E;Englisch;2013-02-01 14:54:04;;
SR;F;Französisch;2013-02-01 14:54:25;;
SR;I;Italienisch;2013-02-01 14:54:37;;
SR;Z;Neugriechisch;2013-02-01 14:54:52;;
SR;N;Niederländisch;2013-02-01 14:55:00;;
SR;S;Spanisch;2013-02-01 14:55:07;;
SR;T;Türkisch;2013-02-01 14:55:41;;
SG;E;Englisch;2013-02-01 14:55:48;;
SG;F;Französisch;2013-02-01 14:56:41;;
SG;I;Italienisch;2013-02-01 14:56:47;;
SG;Z;Neugriechisch;2013-02-01 14:56:59;;
SG;N;Niederländisch;2013-02-01 14:57:06;;
SG;S;Spanisch;2013-02-01 14:57:13;;
SG;T;Türkisch;2013-02-01 14:57:40;;
BK;E;Englisch;2013-02-25 11:50:32;;
BK;F;Französisch;2013-02-25 11:50:54;;
BK;I;Italienisch;2013-02-25 11:51:10;;
BK;N;Niederländisch;2013-02-25 11:51:29;;
BK;S;Spanisch;2013-02-25 11:51:42;;
BK;T;Türkisch;2013-02-25 11:51:54;;
BK;Z;Neugriechisch;2013-02-25 11:52:09;;
BK;**;kein Eintrag;2013-02-25 11:53:18;;
